,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
347,Mount Isa,AU,-20.7333,139.5,74.97,94,40,9.22,scattered clouds
348,Rio Verde De Mato Grosso,BR,-18.9181,-54.8442,78.58,75,91,0.69,overcast clouds
349,Itaituba,BR,-4.2761,-55.9836,82.65,59,40,2.24,scattered clouds
350,Tenenkou,ML,14.4572,-4.9169,85.91,41,83,4.32,broken clouds
351,Iquique,CL,-20.2208,-70.1431,64.44,72,69,4.29,broken clouds
352,Hovd,MN,48.0056,91.6419,33.64,55,29,4.03,scattered clouds
353,Tommot,RU,58.9564,126.2925,22.6,72,46,8.46,scattered clouds
354,Evanston,US,42.0411,-87.6901,55.06,94,90,1.01,moderate rain
355,Zhigansk,RU,66.7697,123.3711,14.54,94,100,9.4,overcast clouds
356,Martinho Campos,BR,-19.3317,-45.2369,76.3,53,39,6.51,scattered clouds
357,Marawi,PH,7.9986,124.2928,66.65,93,20,1.97,few clouds
358,Tlaxco,MX,19.6167,-98.1167,67.89,69,69,2.71,broken clouds
359,Trofors,NO,65.5333,13.4063,49.35,99,100,7.11,overcast clouds
360,Pevek,RU,69.7008,170.3133,1.63,94,100,4.85,overcast clouds
361,Evensk,RU,61.95,159.2333,18.03,95,100,6.06,light snow
362,Berdigestyakh,RU,62.0989,126.6992,20.19,85,98,10.13,overcast clouds
363,Fukue,JP,32.6881,128.8419,66.06,62,52,24.47,broken clouds
364,Namtsy,RU,62.7161,129.6658,21.31,88,46,9.82,scattered clouds
365,Marzuq,YE,14.4,46.4667,71.91,31,6,0.6,clear sky
366,Ust-Omchug,RU,61.15,149.6333,9.19,98,100,3.96,overcast clouds
367,Ara,IN,25.5667,84.6667,62.49,58,0,4.7,clear sky
368,Homer,US,59.6425,-151.5483,35.08,93,90,12.66,mist
369,Zhangye,CN,38.9342,100.4517,41.16,41,0,7.0,clear sky
370,Morro Bay,US,35.3658,-120.8499,86.74,52,0,10.0,clear sky
371,Buraydah,SA,26.326,43.975,72.05,18,40,7.05,scattered clouds
372,Wanning,CN,18.8003,110.3967,76.53,92,100,10.04,light rain
373,Tagusao,PH,9.1924,117.8141,78.03,84,87,6.08,heavy intensity rain
374,Oranjemund,NA,-28.55,16.4333,59.34,82,0,6.17,clear sky
375,Mirnyy,RU,62.5353,113.9611,17.53,85,100,14.79,light snow
376,Nelson Bay,AU,-32.7167,152.15,79.77,64,100,7.29,overcast clouds
377,Bratsk,RU,56.1325,101.6142,16.29,60,31,2.35,scattered clouds
378,Burns Lake,CA,54.2331,-125.7533,36.82,57,92,3.74,overcast clouds
379,Kamuli,UG,0.9472,33.1197,65.03,94,84,0.94,broken clouds
380,San Jeronimo,PE,-11.9472,-75.2829,59.59,53,96,6.55,overcast clouds
381,Santa Lucia,ES,27.9117,-15.5407,61.92,62,20,10.36,few clouds
382,Zaysan,KZ,47.4667,84.8667,44.28,82,90,2.15,overcast clouds
383,Slobidka,UA,47.8869,29.3461,47.32,81,21,4.12,few clouds
384,Marsh Harbour,BS,26.5412,-77.0636,82.51,75,87,14.97,overcast clouds
385,Alice Springs,AU,-23.7,133.8833,72.95,20,62,13.8,broken clouds
386,Bantou,CN,26.2151,117.4893,62.67,91,45,1.1,light rain
387,Teeli,RU,51.0333,90.2333,28.4,81,13,0.94,few clouds
388,Novobirilyussy,RU,56.9514,90.6661,29.77,56,99,7.52,overcast clouds
389,Meulaboh,ID,4.1363,96.1285,77.95,87,91,4.45,overcast clouds
390,Bollnas,SE,61.3482,16.3946,55.13,90,100,15.61,overcast clouds
391,Millinocket,US,45.6573,-68.7098,48.31,57,1,4.61,clear sky
392,Loreto,MX,22.2667,-101.9667,75.22,14,0,8.55,clear sky
393,Biak,ID,-0.9131,122.8766,76.89,80,60,0.78,broken clouds
394,Borogontsy,RU,62.6683,131.1683,15.66,92,23,8.21,few clouds
395,Kuryk,KZ,43.2,51.65,53.98,58,100,19.37,overcast clouds
396,Touros,BR,-5.1989,-35.4608,79.7,72,58,17.69,broken clouds
397,Eastbourne,GB,50.7687,0.2845,60.75,81,96,8.99,overcast clouds
398,Bosaso,SO,11.2842,49.1816,78.91,58,0,4.72,clear sky
399,Qui Nhon,VN,13.7667,109.2333,76.19,91,100,6.2,overcast clouds
400,Manaus,BR,-3.1019,-60.025,84.69,70,40,2.3,scattered clouds
401,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,30.79,93,75,6.71,broken clouds
402,Kulhudhuffushi,MV,6.6221,73.07,80.69,77,61,10.58,broken clouds
403,Garissa,KE,-0.4536,39.6401,77.16,68,5,14.36,clear sky
404,Nampa,US,43.5407,-116.5635,71.15,48,1,12.66,clear sky
405,Abonnema,NG,4.7084,6.7931,77.63,87,83,4.29,broken clouds
406,Larap,PH,14.299,122.6504,77.88,82,80,12.62,broken clouds
407,Yerbogachen,RU,61.2767,108.0108,16.66,82,77,11.48,broken clouds
408,Sorong,ID,-0.8833,131.25,80.62,82,92,9.73,overcast clouds
409,Victor Harbor,AU,-35.5667,138.6167,57.72,72,99,3.0,overcast clouds
410,Ust-Koksa,RU,50.2696,85.6108,32.4,92,65,2.42,broken clouds
411,Ina,JP,35.8276,137.9538,47.14,93,49,6.49,scattered clouds
412,Puerto Escondido,MX,15.85,-97.0667,88.63,55,40,6.91,scattered clouds
413,Denpasar,ID,-8.65,115.2167,80.26,94,40,3.44,scattered clouds
414,Foam Lake,CA,51.65,-103.5343,48.22,39,0,13.78,clear sky
415,Nantai,CN,40.9241,122.8044,49.03,51,100,4.92,overcast clouds
416,Nerchinskiy Zavod,RU,51.3088,119.61,31.1,81,44,2.89,scattered clouds
417,Viedma,AR,-40.8135,-62.9967,77.41,29,75,12.33,broken clouds
418,Opotiki,NZ,-38.0833,177.2833,60.06,98,100,10.11,overcast clouds
419,Ilulissat,GL,69.2167,-51.1,26.62,68,75,12.66,broken clouds
420,Baykit,RU,61.67,96.37,10.56,99,97,3.02,overcast clouds
421,Alofi,NU,-19.0595,-169.9187,82.29,57,75,13.8,light rain
422,Galle,LK,6.0367,80.217,76.44,90,100,3.83,overcast clouds
423,Oranjestad,AW,12.524,-70.027,84.15,79,20,21.85,few clouds
424,Hakui,JP,36.8833,136.7833,51.94,71,5,6.62,clear sky
425,Dandong,CN,40.1292,124.3947,44.65,60,100,3.4,overcast clouds
426,Megion,RU,61.0296,76.1136,30.22,96,100,15.08,light snow
427,Veraval,IN,20.9,70.3667,78.85,52,54,11.27,broken clouds
428,College,US,64.8569,-147.8028,26.55,90,75,0.0,broken clouds
429,Nome,US,64.5011,-165.4064,23.07,64,90,6.91,overcast clouds
430,Grand Gaube,MU,-20.0064,57.6608,73.38,72,10,8.01,clear sky
431,Mana,GF,5.6592,-53.7767,79.34,86,94,8.97,moderate rain
432,Kavieng,PG,-2.5744,150.7967,84.34,72,72,9.01,broken clouds
433,Tecolotlan,MX,20.2167,-104.05,85.44,31,60,2.26,broken clouds
434,Hit,IQ,33.6416,42.8251,72.16,39,29,8.46,scattered clouds
435,Lovozero,RU,68.005,35.0117,27.3,92,100,12.5,overcast clouds
436,Karachi,PK,24.9056,67.0822,67.82,68,0,4.61,smoke
437,Port Keats,AU,-14.25,129.55,85.33,73,59,7.29,broken clouds
438,Magan,ES,39.9683,-3.931,63.46,43,100,7.63,overcast clouds
439,Babstovo,RU,48.1167,132.4833,35.62,70,0,4.27,clear sky
440,Gizo,SB,-8.103,156.8419,84.45,67,40,5.75,scattered clouds
441,Puerto Cabezas,NI,14.0351,-83.3888,87.76,79,40,4.61,scattered clouds
442,Villa Del Rosario,CO,7.8339,-72.4742,80.98,54,40,20.71,scattered clouds
443,Nizhniy Baskunchak,RU,48.2198,46.8311,45.0,56,100,6.98,overcast clouds
444,Bowen,AU,-20.0167,148.2333,79.02,62,3,9.53,clear sky
445,Klyuchi,RU,52.2667,79.1667,32.45,77,100,10.63,overcast clouds
446,Sao Felix Do Xingu,BR,-6.6447,-51.995,83.53,47,47,2.01,light rain
447,Komsomolets,KZ,53.7453,62.0708,35.37,76,100,15.19,overcast clouds
448,Miramar,US,25.9873,-80.2323,84.22,82,1,10.36,clear sky
449,Seryshevo,RU,51.0933,128.3786,33.44,83,14,8.52,few clouds
450,Santa Cruz,BO,-17.8,-63.1667,91.45,43,20,12.66,few clouds
451,Goba,ET,7.0167,39.9833,47.41,85,49,4.25,scattered clouds
452,Shikarpur,PK,27.9571,68.6379,73.54,25,0,3.11,clear sky
453,Porto Novo,BJ,6.4965,2.6036,78.08,82,11,2.86,few clouds
454,Conceicao Da Barra,BR,-18.5933,-39.7322,73.67,76,6,6.24,clear sky
455,Le Port,RE,-20.9373,55.2919,75.2,98,9,10.02,light rain
456,Tautira,PF,-17.7333,-149.15,75.22,80,45,10.67,light rain
457,Grande Prairie,CA,55.1667,-118.8027,48.38,31,40,18.41,scattered clouds
458,Bardiyah,LY,31.7561,25.0865,70.74,81,73,9.26,broken clouds
459,Ulladulla,AU,-35.35,150.4667,83.3,42,12,11.54,few clouds
460,Simao,CN,22.7886,100.9748,60.06,99,79,1.45,broken clouds
461,Paengaroa,NZ,-37.8167,176.4167,66.09,97,70,5.01,broken clouds
462,Katangli,RU,51.7102,143.2326,33.91,92,26,7.49,scattered clouds
463,Ligayan,PH,4.6533,119.4706,83.68,70,81,6.51,broken clouds
464,Fergus Falls,US,46.283,-96.0776,53.58,79,40,7.0,scattered clouds
465,Maceio,BR,-9.6658,-35.7353,81.84,78,0,5.75,clear sky
466,Nizwa,OM,22.9333,57.5333,70.68,62,12,1.45,few clouds
467,Conde,BR,-7.2597,-34.9075,78.26,73,75,8.05,broken clouds
468,Komsomolskiy,UZ,40.4272,71.7189,48.92,61,40,4.61,scattered clouds
469,Vares,BA,44.1644,18.3283,29.62,85,10,2.89,clear sky
470,Korla,CN,41.7597,86.1469,47.26,44,48,2.8,scattered clouds
471,Kahului,US,20.8947,-156.47,84.22,71,40,21.85,scattered clouds
472,Lahaina,US,20.8783,-156.6825,84.96,78,100,5.01,overcast clouds
473,Esperance,AU,-33.8667,121.9,54.21,74,84,10.49,broken clouds
474,Hauterive,FR,46.0901,3.4459,54.36,77,7,6.42,clear sky
475,Salta,AR,-24.7859,-65.4117,84.79,27,40,3.0,scattered clouds
476,Qeshm,IR,26.9581,56.2719,76.89,63,9,9.01,clear sky
477,Encantado,BR,-29.2361,-51.8697,77.83,71,5,3.06,clear sky
478,Ciudad Bolivar,VE,8.1222,-63.5497,80.17,78,96,2.62,overcast clouds
479,Boljevac,RS,43.8303,21.9531,36.45,87,18,3.69,few clouds
480,Saint-Joseph,RE,-21.3667,55.6167,73.78,79,3,3.47,clear sky
481,Polyarnyy,RU,69.1989,33.4478,30.67,86,100,18.61,overcast clouds
482,Margate,GB,51.3813,1.3862,59.31,79,54,5.01,broken clouds
483,Megalopoli,GR,37.4011,22.1422,57.42,85,2,6.35,clear sky
484,Monroe,US,43.1501,-77.6831,52.29,87,75,12.66,broken clouds
485,Hualmay,PE,-11.0964,-77.6139,66.65,76,63,10.87,broken clouds
486,Varzelandia,BR,-15.7014,-44.0275,77.81,49,71,11.65,broken clouds
487,Gubkinskiy,RU,64.434,76.5026,28.72,97,100,17.18,light snow
488,Oussouye,SN,12.485,-16.5469,80.78,78,71,4.94,broken clouds
489,Domodossola,IT,46.1165,8.2931,51.17,55,21,2.59,few clouds
490,Kawalu,ID,-7.3817,108.2082,72.14,97,100,1.23,overcast clouds
491,Kavaratti,IN,10.5669,72.642,80.26,79,100,4.18,overcast clouds
492,Aksu,CN,41.1231,80.2644,48.58,40,96,3.2,overcast clouds
493,The Valley,AI,18.217,-63.0578,82.54,69,20,5.75,few clouds
494,Aswan,EG,24.0934,32.907,81.7,26,0,9.22,clear sky
495,Qom,IR,34.6401,50.8764,55.54,32,6,3.74,clear sky
496,Antanifotsy,MG,-19.65,47.3167,55.26,90,99,4.47,overcast clouds
497,Gbadolite,CD,4.2833,21.0167,72.21,96,98,1.23,overcast clouds
498,Mezen,RU,65.8522,44.24,24.66,97,100,4.25,overcast clouds
499,Caucaia,BR,-3.7361,-38.6531,81.03,76,75,12.66,broken clouds
500,Muskegon,US,43.3,-86.1334,60.22,64,1,9.22,clear sky
501,Kopanskaya,RU,46.2779,38.4795,49.75,77,99,8.39,overcast clouds
502,Sakakah,SA,29.9697,40.2064,67.57,28,79,5.93,broken clouds
503,Erzin,TR,36.9559,36.2,55.92,71,45,3.62,scattered clouds
504,Wote,KE,-1.7808,37.6288,65.88,74,27,2.55,scattered clouds
505,Moron,AR,-34.6534,-58.6198,87.01,51,100,8.99,overcast clouds
506,Peniche,PT,39.3558,-9.3811,65.68,91,100,19.66,moderate rain
507,Rocha,UY,-34.4833,-54.3333,66.42,79,0,9.19,clear sky
508,Rio Grande,BR,-32.035,-52.0986,71.94,84,0,14.14,clear sky
509,Saint-Francois,FR,46.4154,3.9054,49.44,81,0,4.61,clear sky
510,Alta Floresta,BR,-9.8756,-56.0861,75.4,81,66,3.98,broken clouds
511,Kousseri,CM,12.0769,15.0306,78.76,31,11,2.3,few clouds
512,Orbetello,IT,42.4408,11.2196,63.05,62,100,3.22,overcast clouds
513,Nicolas Bravo,MX,18.45,-88.9167,86.88,69,84,4.85,broken clouds
514,Usinsk,RU,65.9939,57.5281,18.39,82,28,19.91,scattered clouds
515,Pemangkat,ID,1.1667,108.9667,77.05,88,100,6.55,overcast clouds
516,Richards Bay,ZA,-28.783,32.0377,66.36,73,82,13.98,broken clouds
517,Riverton,US,40.5219,-111.9391,64.17,46,1,1.99,clear sky
518,Sao Sebastiao,BR,-23.76,-45.4097,70.32,95,100,5.46,light rain
519,Maniitsoq,GL,65.4167,-52.9,32.88,43,100,5.79,overcast clouds
520,Cao Bang,VN,22.6667,106.25,67.5,98,100,0.81,overcast clouds
521,Asau,RO,46.4333,26.4,48.76,77,11,2.33,few clouds
522,Cicero Dantas,BR,-10.6,-38.3833,72.91,72,49,9.64,scattered clouds
523,Vestmannaeyjar,IS,63.4427,-20.2734,42.93,79,88,10.27,light rain
524,Zhezkazgan,KZ,47.8043,67.7144,34.66,34,30,6.24,scattered clouds
525,Gawler,AU,-34.6,138.7333,58.21,80,99,9.13,overcast clouds
526,Esik,KZ,43.3552,77.4525,40.42,69,54,5.48,broken clouds
527,Maldonado,UY,-34.6667,-54.9167,73.22,75,3,9.98,clear sky
528,Ahuimanu,US,21.4447,-157.8378,83.46,68,75,9.22,broken clouds
529,Hohhot,CN,40.8106,111.6522,32.29,80,0,4.47,clear sky
530,Natal,BR,-5.795,-35.2094,79.45,78,0,10.36,clear sky
531,Pucara,PE,-15.9803,-71.4606,42.93,65,82,2.13,broken clouds
532,Kondinskoye,RU,59.6481,67.41,33.91,97,100,15.59,overcast clouds
533,Naze,JP,28.3667,129.4833,67.12,63,27,9.46,scattered clouds
534,Mpulungu,ZM,-8.7623,31.1141,79.03,53,20,10.78,few clouds
535,Talca,CL,-35.4333,-71.6667,85.71,20,0,6.93,clear sky
536,Senanga,ZM,-16.1167,23.2667,72.99,55,41,6.64,scattered clouds
537,Kameshkovo,RU,56.3481,41.0047,37.94,94,98,6.4,overcast clouds
538,Bintulu,MY,3.1667,113.0333,75.61,100,20,4.61,mist
539,Ferme-Neuve,CA,46.7001,-75.4493,44.38,66,0,4.29,clear sky
540,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,86.79,37,87,3.36,overcast clouds
541,San Rafael,AR,-34.6177,-68.3301,92.52,15,1,15.17,clear sky
542,High Rock,BS,26.6208,-78.2833,84.22,80,100,18.59,overcast clouds
543,Khartoum,SD,15.5518,32.5324,87.96,13,1,11.52,clear sky
544,Stabat,ID,3.761,98.4513,77.2,96,100,1.63,light rain
545,Axim,GH,4.8699,-2.2405,78.26,87,94,4.5,overcast clouds
546,Talpa,MX,28.8257,-111.6257,93.58,19,0,5.01,clear sky
547,Akranes,IS,64.3218,-22.0749,42.19,82,100,15.79,moderate rain
548,Gamba,GA,-2.65,10.0,76.32,89,98,6.13,overcast clouds
549,Riyadh,SA,24.6877,46.7219,75.34,17,99,9.35,overcast clouds
550,Kieta,PG,-6.2167,155.6333,83.62,70,68,3.27,broken clouds
551,Bereda,ES,43.2686,-7.5406,55.42,99,100,6.29,overcast clouds
552,Yalova,TR,40.655,29.2769,57.83,74,25,11.63,scattered clouds
553,La Ronge,CA,55.1001,-105.2842,48.45,43,40,8.05,scattered clouds
554,Sambava,MG,-14.2667,50.1667,73.92,85,61,5.55,broken clouds
555,Kamina,CD,-8.7386,24.9906,63.28,94,89,4.68,light rain
556,Brigantine,US,39.4101,-74.3646,59.05,82,90,9.22,overcast clouds
557,Mexico,PH,15.0646,120.7198,80.62,82,55,6.38,broken clouds
558,Hami,CN,42.8,93.45,48.07,37,38,4.76,scattered clouds
559,Batagay-Alyta,RU,67.8006,130.4114,5.92,88,100,2.57,light snow
560,Yangshe,CN,31.8899,120.6052,61.03,77,54,4.47,broken clouds
561,Bambanglipuro,ID,-7.95,110.2833,77.34,90,100,3.98,overcast clouds
562,Pittsburg,US,38.028,-121.8847,80.42,53,1,1.99,clear sky
563,Fuerte Olimpo,PY,-21.0415,-57.8738,85.41,50,79,9.04,broken clouds
564,Siva,EG,29.2041,25.5195,74.07,45,14,7.0,few clouds
565,San Fernando,PH,15.0286,120.6898,80.62,82,55,6.76,broken clouds
566,Le Passage,FR,44.2014,0.6028,60.6,93,0,10.36,clear sky
567,Filimonovo,RU,56.2011,95.4611,25.56,60,56,4.45,broken clouds
568,Ergani,TR,38.2653,39.7621,57.92,78,100,6.35,light rain
569,Gazli,UZ,40.1333,63.45,42.49,70,4,2.19,clear sky
570,Yar-Sale,RU,66.8333,70.8333,22.75,96,100,12.24,light snow
571,Gat,IL,31.61,34.7642,75.9,33,86,0.54,overcast clouds
572,Abashiri,JP,44.0213,144.2697,47.95,90,98,25.28,overcast clouds
573,Kuandian,CN,40.7286,124.7847,40.73,62,100,2.8,overcast clouds
574,Sungaipenuh,ID,-2.0833,101.3833,65.79,92,99,1.32,overcast clouds
575,Sampit,ID,-2.5333,112.95,72.97,99,100,1.9,overcast clouds
576,Xinye,CN,32.5186,112.3522,58.23,69,61,2.68,broken clouds
577,Damietta,EG,31.4165,31.8133,76.89,78,75,13.51,broken clouds
578,Florence,IT,43.7667,11.25,56.53,74,0,2.3,clear sky
579,Ban Phai,TH,16.06,102.731,73.89,96,80,5.84,broken clouds
580,Romanovo,RU,52.6182,81.2271,31.28,65,100,11.25,overcast clouds
581,Iskateley,RU,67.6803,53.1512,18.99,79,30,11.16,scattered clouds
582,Westport,US,41.1415,-73.3579,55.76,69,75,5.01,broken clouds
583,Mecca,SA,21.4267,39.8261,80.71,53,57,5.84,broken clouds
584,Middelburg,ZA,-25.7751,29.4648,60.71,67,100,10.07,overcast clouds
585,Karasburg,NA,-28.0167,18.75,62.8,53,0,7.56,clear sky
586,Canto Do Buriti,BR,-8.11,-42.9444,85.08,30,0,5.03,clear sky
587,Maraa,BR,-1.8333,-65.3667,77.32,85,84,2.33,broken clouds
588,Makokou,GA,0.5738,12.8642,69.78,98,51,1.3,broken clouds
589,Zhaoyuan,CN,37.3592,120.3964,51.44,55,94,5.21,overcast clouds
590,Odessa,UA,46.4775,30.7326,42.73,93,0,0.0,clear sky
591,Lubao,PH,14.9167,120.55,80.62,83,53,8.08,broken clouds
592,Bilma,NE,18.6853,12.9164,81.95,16,59,5.73,broken clouds
593,Kelvington,CA,52.1667,-103.5343,47.86,40,0,13.65,clear sky
594,Aklavik,CA,68.2191,-135.0107,27.43,95,73,3.85,broken clouds
595,Shaunavon,CA,49.6501,-108.4181,50.74,30,25,10.87,scattered clouds
596,Treinta Y Tres,UY,-33.2333,-54.3833,68.76,68,0,9.89,clear sky
597,Qaqortoq,GL,60.7167,-46.0333,32.5,73,93,4.54,overcast clouds
598,Inyonga,TZ,-6.7167,32.0667,74.35,40,67,7.61,broken clouds
599,Kumi,KR,36.1136,128.336,44.28,82,69,2.37,broken clouds
600,Devils Lake,US,48.1128,-98.8651,55.51,50,1,8.99,clear sky
601,Carver,US,44.8,-93.7836,49.44,95,100,10.83,light rain
602,Bilibino,RU,68.0546,166.4372,-20.51,97,13,3.44,few clouds
603,Roma,US,43.2128,-75.4557,53.46,71,1,5.75,clear sky
604,Cooma,AU,-36.2333,149.1333,62.37,29,0,21.85,clear sky
605,Muros,ES,42.7762,-9.0603,62.83,90,98,11.81,light rain
606,La Paz,BO,-16.5,-68.15,60.78,35,20,11.5,few clouds
607,Jalu,LY,29.0331,21.5482,73.38,42,19,4.88,few clouds
608,Belgrade,RS,44.804,20.4651,44.46,79,0,3.44,clear sky
609,Walvis Bay,NA,-22.9575,14.5053,61.09,82,71,3.44,broken clouds
610,Catamarca,AR,-28.4696,-65.7852,93.78,31,16,5.99,few clouds
611,Jacareacanga,BR,-6.2222,-57.7528,82.04,66,93,0.67,overcast clouds
612,Baker City,US,44.7749,-117.8344,63.82,63,1,17.27,clear sky
613,Alappuzha,IN,9.49,76.3264,77.88,83,66,2.1,broken clouds
614,Vostok,RU,46.4856,135.8833,29.3,92,2,3.87,clear sky
615,Kloulklubed,PW,7.0419,134.2556,81.1,69,65,15.41,broken clouds
616,Raudeberg,NO,61.9875,5.1352,54.19,94,100,13.0,light rain
617,Nyurba,RU,63.2842,118.3319,21.34,80,100,13.62,overcast clouds
618,Nianzishan,CN,47.5167,122.8833,38.64,61,4,3.15,clear sky
619,Lima,PE,-12.0432,-77.0282,63.39,33,40,12.66,scattered clouds
620,Dunedin,NZ,-45.8742,170.5036,58.8,77,75,8.99,broken clouds
621,Beisfjord,NO,68.3751,17.5988,46.26,95,97,6.82,overcast clouds
622,Nalut,LY,30.3333,10.85,64.92,48,100,5.84,overcast clouds
623,Verkhovazhye,RU,60.7472,42.0465,25.9,86,36,2.89,scattered clouds
624,Tual,ID,-5.6667,132.75,82.36,76,98,3.76,overcast clouds
625,Xichang,CN,27.8964,102.2634,55.71,85,92,2.35,overcast clouds
626,Dunmore East,IE,52.1514,-6.9861,54.68,76,100,8.97,light rain
627,Mayumba,GA,-3.432,10.6554,76.75,87,68,6.64,broken clouds
628,Brae,GB,60.3964,-1.353,49.91,87,100,6.02,overcast clouds
629,Petauke,ZM,-14.2426,31.3253,68.2,55,0,12.17,clear sky
630,Rorvik,NO,64.8621,11.2373,49.98,88,100,11.77,light rain
631,Tamiahua,MX,21.2667,-97.45,80.62,50,16,12.41,few clouds
632,Arcachon,FR,44.5875,-1.0519,58.41,77,0,5.75,clear sky
633,Vuktyl,RU,63.8567,57.3094,19.27,89,89,14.34,overcast clouds
634,Shar,KZ,49.5886,81.0453,36.64,88,9,6.06,clear sky
635,Umea,SE,63.8284,20.2597,40.93,100,90,2.3,mist
636,Arlit,NE,18.7369,7.3853,84.27,11,21,8.34,few clouds
637,Bang Saphan,TH,11.2126,99.5117,75.81,94,82,4.32,broken clouds
638,Kyzyl-Suu,KG,42.3414,78.0056,40.53,52,96,4.99,overcast clouds
639,Camopi,GF,3.1655,-52.3158,82.36,57,100,5.14,overcast clouds
640,Gimli,CA,50.6336,-96.9907,49.42,76,35,6.91,scattered clouds
641,Mahonda,TZ,-6.45,39.4667,79.14,79,5,10.51,clear sky
642,Quthing,LS,-30.4,27.7003,60.98,77,100,8.32,light rain
643,Morant Bay,JM,17.8815,-76.4093,85.62,80,35,8.05,scattered clouds
644,Tuy Hoa,VN,13.0833,109.3,75.97,92,100,4.05,overcast clouds
645,Kabinda,CD,-6.1333,24.4833,67.98,92,100,2.66,overcast clouds
646,Fez,MA,34.0372,-4.9998,62.85,48,0,9.22,clear sky
647,Sokur,RU,55.2093,83.319,32.36,48,100,16.28,overcast clouds
648,Orlik,RU,52.5178,99.825,25.43,71,96,2.44,overcast clouds
649,Ekibastuz,KZ,51.6667,75.3667,35.8,42,94,16.02,overcast clouds
650,Stromness,GB,58.965,-3.296,48.45,84,100,8.28,overcast clouds
651,Vao,NC,-22.6667,167.4833,71.19,69,0,12.95,clear sky
652,Dobrun,RU,53.1851,34.2462,37.47,100,49,0.0,scattered clouds
653,Kirakira,SB,-10.4544,161.9205,85.98,69,32,9.53,scattered clouds
654,Szigetszentmiklos,HU,47.3438,19.0434,34.34,86,47,1.14,scattered clouds
655,Luwingu,ZM,-10.2621,29.9271,69.21,57,3,7.0,clear sky
656,Sola,VU,-13.8833,167.55,81.34,76,37,15.01,scattered clouds
657,Altus,US,34.6381,-99.334,71.11,15,1,4.0,clear sky
658,Benalla,AU,-36.55,145.9833,57.97,72,54,15.7,broken clouds
659,Linxia,CN,35.6003,103.2064,41.92,59,57,1.41,broken clouds
660,Qasigiannguit,GL,68.8193,-51.1922,26.85,84,100,6.73,overcast clouds
661,Ivnya,RU,51.0629,36.1343,46.31,95,30,7.43,scattered clouds
662,Imeni Babushkina,RU,59.7573,43.1285,25.38,83,11,0.96,few clouds
663,Wanaka,NZ,-44.7,169.15,59.11,66,40,1.01,scattered clouds
664,Berlevag,NO,70.8578,29.0864,32.63,90,100,18.68,snow
665,Ornskoldsvik,SE,63.2909,18.7153,41.95,100,90,5.75,overcast clouds
666,Groton,US,41.3501,-72.0784,53.02,71,90,6.91,overcast clouds
667,Flinders,AU,-34.5833,150.8552,83.37,45,74,9.82,broken clouds
668,Loandjili,CG,-4.7561,11.8578,78.91,83,75,5.75,broken clouds
669,Puerto Quijarro,BO,-17.7833,-57.7667,87.8,47,48,1.9,scattered clouds
670,Xam Nua,LA,20.4197,104.0439,63.16,99,100,0.72,overcast clouds
671,Kapustin Yar,RU,48.5831,45.7372,42.03,50,99,7.45,overcast clouds
672,Zhuanghe,CN,39.7008,122.9911,51.26,52,100,5.39,overcast clouds
673,Novovarshavka,RU,54.1721,74.6946,36.25,45,94,15.9,overcast clouds
674,Along,IN,28.1667,94.7667,58.33,72,0,1.88,clear sky
675,Makakilo City,US,21.3469,-158.0858,82.29,66,90,10.36,overcast clouds
676,Atasu,KZ,48.6814,71.6433,33.49,35,15,5.64,few clouds
677,Oktyabrskiy,RU,54.4815,53.471,38.44,79,100,7.63,light rain
678,Astara,AZ,38.5,48.6667,36.3,75,5,3.44,clear sky
679,Ondjiva,AO,-17.0667,15.7333,72.79,56,43,6.33,scattered clouds
680,Dawlatabad,AF,36.4141,64.9053,44.29,72,0,4.65,clear sky
681,Vadso,NO,70.0744,29.7487,29.28,95,100,16.93,light snow
682,Havoysund,NO,70.9963,24.6622,38.28,86,100,23.82,overcast clouds
683,Ancud,CL,-41.8697,-73.8203,60.33,69,36,7.94,scattered clouds
684,Namatanai,PG,-3.6667,152.4333,84.11,70,96,5.77,overcast clouds
685,General Pico,AR,-35.6566,-63.7568,93.76,18,2,16.26,clear sky
686,Eureka,US,40.8021,-124.1637,74.12,75,20,4.0,few clouds
687,Puerto Penasco,MX,31.3167,-113.5333,79.92,60,0,8.99,clear sky
688,Kutum,SD,14.2,24.6667,72.95,14,10,11.34,clear sky
689,Alekseyevka,RU,50.6309,38.6903,44.76,93,69,9.06,broken clouds
690,Narasannapeta,IN,18.4167,84.05,75.31,80,94,7.2,overcast clouds
691,Tilichiki,RU,60.4667,166.1,1.92,87,23,5.73,few clouds
692,Prince Rupert,CA,54.3161,-130.3201,46.09,73,82,12.66,light rain
