City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
488,Karratha,AU,78.3,clear sky,-20.7377,116.8463,ibis Styles Karratha
490,Portobelo,PA,84.61,overcast clouds,9.55,-79.65,Scuba Portobelo
491,Umm Lajj,SA,77.13,clear sky,25.0213,37.2685,Moon light Furnished Units
496,Muli,MV,82.27,few clouds,2.9167,73.5667,Medhufushi Island Resort
498,Namatanai,PG,84.45,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
501,Waingapu,ID,80.87,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
502,Acandi,CO,78.93,broken clouds,8.5063,-77.2778,Hotel Patio Bonito
504,Makakilo City,US,82.72,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
505,Saint George,US,75.67,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
512,Gouloure,BF,83.93,broken clouds,12.2306,-1.9289,
515,Ormara,PK,76.6,clear sky,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
517,Vila Velha,BR,78.75,few clouds,-20.3297,-40.2925,Quality Suites Vila Velha
520,Biltine,TD,83.91,clear sky,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
521,Salinopolis,BR,81.36,clear sky,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
527,Birao,CF,76.41,overcast clouds,10.2849,22.7882,
539,South Venice,US,80.98,overcast clouds,27.0531,-82.4243,"Island Sun Inn & Suites - Venice, Florida Historic Downtown & Beach Getaway"
540,Akyab,MM,75.92,overcast clouds,20.15,92.9,Hotel Memory
542,Puerto Narino,CO,82.35,overcast clouds,-3.7703,-70.3831,Eware Refugio Amazonico
546,Rio Rancho,US,77.05,clear sky,35.2334,-106.6645,Hilton Garden Inn Albuquerque North/Rio Rancho
551,Les Cayes,HT,79.57,broken clouds,18.2,-73.75,Villa Orphee
552,San Cristobal,VE,75.38,broken clouds,7.7669,-72.225,Posada Villaven C.A.
557,Cuamba,MZ,78.17,clear sky,-14.8031,36.5372,Hotel Vision
562,Poplar Bluff,US,80.38,scattered clouds,36.757,-90.3929,Holiday Inn Poplar Bluff
568,Nazare,BR,75.92,moderate rain,-13.035,-39.0144,Hotel Victória Réghia
571,Matara,LK,76.86,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
576,Auki,SB,83.39,few clouds,-8.7676,160.7034,Auki Motel
591,Manokwari,ID,80.55,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
596,Belmonte,BR,77.5,scattered clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
597,Ca Mau,VN,75.51,overcast clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
604,Robertsport,LR,79.09,moderate rain,6.7533,-11.3686,Kwepunha Retreat
605,Finschhafen,PG,84.25,scattered clouds,-6.6024,147.8681,Cossam Guest House
609,Valparaiso,CL,76.64,clear sky,-33.0393,-71.6273,Hotel Ultramar
612,Aloleng,PH,80.26,overcast clouds,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
616,Samana,DO,84.16,scattered clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
617,Lagunillas,VE,82.11,broken clouds,10.1301,-71.2595,Casa de Beatriz y Chucho
619,Hambantota,LK,78.06,overcast clouds,6.1241,81.1185,Bungalow 63
625,Byron Bay,AU,75.15,scattered clouds,-28.65,153.6167,Backpackers Inn on the Beach
626,Lake City,US,79.63,scattered clouds,30.1897,-82.6393,Ramada Limited Lake City
627,Manado,ID,75.97,few clouds,1.487,124.8455,Aryaduta Hotel
629,Viedma,AR,75.61,scattered clouds,-40.8135,-62.9967,Hotel Cristal
632,Blackwater,AU,83.55,broken clouds,-23.5833,148.8833,Blackwater Motor Inn
636,Natal,BR,81.25,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
640,Farafangana,MG,75.78,light rain,-22.8167,47.8333,Miarina
643,Simoes,BR,80.11,overcast clouds,-7.5989,-40.8178,Hotel Ponto Certo
651,Kudahuvadhoo,MV,82.4,scattered clouds,2.6708,72.8944,Niyama Private Islands Maldives
653,Bambanglipuro,ID,78.08,overcast clouds,-7.95,110.2833,Puri Brata
657,Qandala,SO,79.83,clear sky,11.472,49.8728,
661,Bahia De Caraquez,EC,77.18,overcast clouds,-0.6,-80.4167,Saiananda
664,Baculin,PH,80.44,heavy intensity rain,7.4525,126.5842,Shovy's Cove
666,Kavieng,PG,84.47,broken clouds,-2.5744,150.7967,Nusa Island Retreat
669,Gboko,NG,76.82,broken clouds,7.3179,8.9951,Mavillah Apartment and Suites
674,Barabai,ID,76.57,broken clouds,-2.5833,115.3833,HOTEL BOURAQ INDAH PERMAI
675,Poya,NC,78.4,clear sky,-21.35,165.15,
677,El Espinal,MX,78.49,scattered clouds,16.3333,-94.0667,
678,Cape Coast,GH,78.22,scattered clouds,5.1053,-1.2466,Samrit Hotel
686,Trincomalee,LK,78.51,overcast clouds,8.5711,81.2335,Welcombe Hotel
690,Voh,NC,81.41,scattered clouds,-20.9667,164.7,Le gîte du Koniambo
